Key,English,Arabic
dashboard,Dashboard,لوحة التحكم
assets,Assets,الأصول
activity,Activity,النشاط
plans,Plans,الخطط
account,Account,الحساب
add_entry,Add Entry,إضافة إدخال
add_asset,Add Asset,إضافة أصل
add_cash,Add Cash,إضافة نقدي
add_income,Add Income,إضافة دخل
add_expense,Add Expense,إضافة مصروف
add_income_expense,Add Income/Expense,إضافة دخل/مصروف
add_saving,Add Savings,إضافة ادخار
add_investment,Add Investment,إضافة استثمار
add_plan,Add Plan,إضافة خطة
settings,Settings,الإعدادات
language,Language,اللغة
english,English,الإنجليزية
arabic,Arabic,العربية
manual_prices_required,Manual prices required,الأسعار اليدوية مطلوبة
market_data_required,Market data required,بيانات السوق مطلوبة
gold_silver_required,Gold/Silver prices required,أسعار الذهب/الفضة مطلوبة
transactions,Transactions,المعاملات
zakat_schedule,Zakat Schedule,جدول الزكاة
all,All,الكل
all_categories,All Categories,كل الفئات
income,Income,دخل
expense,Expense,مصروف
save,Save,حفظ
confirm,Confirm,تأكيد
edit,Edit,تعديل
add,Add,إضافة
cancel,Cancel,إلغاء
delete,Delete,حذف
paid,Paid,مدفوع
not_paid,Not Paid,غير مدفوع
mark_paid,Mark Paid,تعيين كمدفوع
undo_paid,Undo Paid,إلغاء الدفع
mark_zakat_paid,Mark Zakat Paid,تسجيل الزكاة كمدفوعة
installments,Installments,الأقساط
select_payment_category,Select payment category,اختر فئة الدفع
currency_exchange,Currency Exchange,تحويل عملة
exchange_source_type,Source type,نوع المصدر
source_currency,Source currency,عملة المصدر
target_currency,Target currency,عملة الهدف
source_amount,Source amount,مبلغ المصدر
target_amount,Target amount,مبلغ الهدف
both,Both,كلاهما
savings,Savings,الادخارات
cash_in,Cash In,إيداع نقدي
refresh_market_data,Refresh Market Data,تحديث بيانات السوق
save_market_data,Save Market Data,حفظ بيانات السوق
last_updated,Last updated,آخر تحديث
no_transactions_yet,No transactions yet,لا توجد معاملات بعد
no_assets_yet,No assets added yet,لا توجد أصول مضافة بعد
no_plans_yet,No financial plans yet,لا توجد خطط مالية بعد
financial_summary,Financial Summary,الملخص المالي
zakat_summary,Zakat Summary,ملخص الزكاة
recent_activity,Recent Activity,النشاط الأخير
view_all,View All,عرض الكل
view_details,View details,عرض التفاصيل
no_recent_transactions,No recent transactions,لا توجد معاملات حديثة
total_income,Total Income,إجمالي الدخل
total_expenses,Total Expenses,إجمالي المصروفات
total_wealth,Total Wealth,إجمالي الثروة
total_assets,Total Assets,إجمالي الأصول
total_savings_wealth,Total Savings Wealth,إجمالي ثروة الادخار
investment_wealth,Investment Wealth,ثروة الاستثمارات
nisab_status,Nisab Status,حالة النصاب
current_nisab_threshold,Current Nisab Threshold,حد النصاب الحالي
due_now,Due Now,مستحق الآن
upcoming,Upcoming,قادم
past,Past,سابق
entries,Entries,العناصر
yes,Yes,نعم
no,No,لا
account_section,Account,الحساب
currency_section,Currency,العملة
zakat_calculation_section,Zakat Calculation,حساب الزكاة
cash_nisab,Cash Nisab,نصاب النقد
nisab_gold_85,85 g gold 24 k,85 جرام ذهب 24 قيراط
nisab_silver_595,595 g silver 999,595 جرام فضة 999
market_data_section,Market Data,بيانات السوق
appearance_section,Appearance,المظهر
theme_mode,Theme Mode,وضع المظهر
theme_system,System,تلقائي
theme_light,Light,فاتح
theme_dark,Dark,داكن
backup_sync_section,Backup & Sync,النسخ الاحتياطي والمزامنة
categories_section,Categories,الفئات
categories_manage,Manage categories,إدارة الفئات
income_categories,Income Categories,فئات الدخل
